,ID,RA,Dec,Ebv,Gal_Long,Gal_Lat,Ecl_Long,Ecl_Lat,Entry
29552,29553,111.45511,-26.0,1.0,239.85943,-4.60781,119.00716,-47.30102,29552
5140,5141,329.49153,49.0,1.0,96.06218,-4.60724,359.4538,55.58462,5140
17827,17828,292.24719,8.0,1.0,44.36107,-4.6056,295.50701,29.49076,17827
3432,3433,35.8209,56.0,1.0,135.57358,-4.60095,54.2635,39.08573,3432
3636,3637,40.19417,55.0,1.0,138.25284,-4.58604,56.64503,37.18165,3636
18898,18899,290.61453,5.0,1.0,40.93975,-4.58252,293.13138,26.7991,18898
8584,8585,311.75258,36.0,1.0,77.64955,-4.58134,329.28926,51.20544,8584
28235,28236,109.18919,-22.0,1.0,235.34143,-4.57928,114.97921,-43.78885,28235
12977,12978,300.54054,22.0,1.0,60.53085,-4.57755,308.90511,41.40411,12977
9777,9778,308.06557,32.0,1.0,72.60021,-4.57685,322.45404,48.7474,9777
20691,20692,288.0,0.0,1.0,35.28091,-4.57372,289.49507,22.22929,20691
13988,13989,298.58824,19.0,1.0,57.00639,-4.5692,305.5819,38.97455,13988
11988,11989,302.57669,25.0,1.0,64.0755,-4.5554,312.49037,43.75385,11988
21580,21581,99.27577,-3.0,1.0,213.9732,-4.55514,100.3328,-26.10739,21580
7727,7728,314.83871,39.0,1.0,81.53349,-4.551,335.0166,52.80975,7727
29698,29699,274.17957,-26.0,1.0,5.96871,-4.54094,273.75408,-2.61523,29698
20861,20862,98.27298,-1.0,1.0,211.72919,-4.53765,99.07994,-24.17913,20861
3028,3029,3.78947,58.0,1.0,118.12495,-4.53274,34.9473,49.83436,3028
23197,23198,284.36975,-7.0,1.0,27.37496,-4.5226,284.81965,15.7029,23197
12315,12316,301.82927,24.0,1.0,62.86282,-4.52136,311.19415,42.99557,12315
4961,4962,56.44068,49.0,1.0,149.91241,-4.5213,65.66716,28.35874,4961
5870,5871,324.0,46.0,1.0,91.27881,-4.51593,351.04938,55.33002,5870
11465,11466,82.47678,26.0,1.0,180.61888,-4.51452,83.23971,2.73732,11465
20141,20142,97.27019,1.0,1.0,209.48502,-4.51446,97.86319,-22.24131,20141
14329,14330,297.89474,18.0,1.0,55.80712,-4.51202,304.4576,38.1622,14329
28568,28569,109.84894,-23.0,1.0,236.51361,-4.501,116.07396,-44.65836,28568
7538,7539,70.96774,39.0,1.0,164.37488,-4.49948,74.6738,16.56901,7538
6720,6721,67.41573,42.0,1.0,160.32644,-4.4983,72.33192,19.93739,6720
19422,19423,96.26741,3.0,1.0,207.24131,-4.48315,96.68101,-20.29431,19422
10510,10511,80.25478,29.0,1.0,177.01867,-4.48106,81.44698,5.84998,10510
23729,23730,102.42254,-9.0,1.0,220.76027,-4.47563,104.48687,-31.81674,23729
6379,6380,320.93023,44.0,1.0,88.31885,-4.47468,345.9572,54.85743,6379
3607,3608,349.25373,56.0,1.0,109.95209,-4.47379,23.08234,53.33585,3607
3038,3039,22.73684,58.0,1.0,128.1634,-4.46987,47.0668,44.158,3038
4728,4729,54.54545,50.0,1.0,148.3226,-4.46908,64.60202,29.64217,4728
16920,16921,92.54237,10.0,1.0,199.30003,-4.4616,92.57992,-13.41675,16920
14672,14673,297.2093,17.0,1.0,54.61027,-4.45184,303.35922,37.34169,14672
3233,3234,31.22449,57.0,1.0,132.84293,-4.45146,51.8421,41.08635,3233
11663,11664,303.15789,26.0,1.0,65.2034,-4.45112,313.60695,44.54978,11663
3409,3410,354.4898,57.0,1.0,113.01847,-4.45074,27.78568,52.21494,3409
5199,5200,58.5,48.0,1.0,151.60751,-4.44484,66.88984,27.05862,5199
6906,6907,318.20225,42.0,1.0,85.48578,-4.44369,341.22582,54.19174,6906
5441,5442,60.2449,47.0,1.0,153.15795,-4.44327,67.9194,25.81771,5441
16764,16765,293.71105,11.0,1.0,47.69676,-4.44314,297.79298,32.18026,16764
30511,30512,113.50318,-29.0,1.0,243.37298,-4.43303,122.72175,-49.80266,30511
22125,22126,285.79387,-4.0,1.0,30.70183,-4.43094,286.63425,18.53177,22125
8980,8981,76.10738,34.0,1.0,170.87776,-4.42413,78.30089,11.1239,8980
3845,3846,44.36019,54.0,1.0,140.87313,-4.42377,58.98565,35.36757,3845
4233,4234,338.33333,53.0,1.0,102.92605,-4.4222,11.50315,55.20155,4233
5688,5689,61.92,46.0,1.0,154.68861,-4.42189,68.92968,24.59538,5688
8392,8393,74.2268,36.0,1.0,168.34587,-4.41646,76.94665,13.27356,8392
21408,21409,286.79666,-2.0,1.0,32.94513,-4.4153,287.94002,20.39921,21408
24261,24262,282.71186,-10.0,1.0,23.94759,-4.4117,282.83784,12.87437,24261
26190,26191,106.12717,-16.0,1.0,228.66177,-4.41161,109.90765,-38.3311,26190
26011,26012,280.11527,-15.0,1.0,18.32543,-4.40805,279.86056,8.09351,26011
9582,9583,77.90164,32.0,1.0,173.38791,-4.40662,79.63828,8.99541,9582
12778,12779,85.40541,22.0,1.0,185.44384,-4.39843,85.74499,-1.37139,12778
4452,4453,335.56561,52.0,1.0,100.96138,-4.39203,8.10204,55.52106,4452
15017,15018,296.53179,16.0,1.0,53.41589,-4.38913,302.28608,36.51332,15017
4019,4020,341.23223,54.0,1.0,104.92477,-4.38902,14.92207,54.83826,4019
4500,4501,52.56637,51.0,1.0,146.71219,-4.38869,63.51675,30.94856,4500
30018,30019,273.375,-27.0,1.0,4.74352,-4.37844,273.00696,-3.59597,30018
3027,3028,1.89474,58.0,1.0,117.1301,-4.37683,33.71783,50.45683,3027
19973,19974,288.80223,2.0,1.0,37.43252,-4.36873,290.65645,24.10106,19973
18183,18184,291.42857,7.0,1.0,43.0926,-4.36162,294.39818,28.64253,18183
5378,5379,327.0,48.0,1.0,94.14336,-4.35116,356.04675,55.7746,5378
25664,25665,280.57307,-14.0,1.0,19.42094,-4.35071,280.38065,9.05889,25664
11341,11342,303.75,27.0,1.0,66.3334,-4.34449,314.75644,45.33652,11341
